Source,Target,Type,Kind,Id,Label,timeset,Weight
@gauravk20601889,@prem_tiwari87,Directed,Mention,7846,,<[2022-03-02T10:15:25.014Z]>,1
@gauravk20601889,@prem_tiwari87,Directed,Retweet,7847,,<[2022-03-02T10:15:25.014Z]>,1
@loy0121,@kushinashin,Directed,Mention,7848,,<[2022-03-02T10:15:25.115Z]>,1
@loy0121,@kushinashin,Directed,Retweet,7849,,<[2022-03-02T10:15:25.115Z]>,1
@ramchoudhary25,@s_shreyatweets,Directed,Mention,7850,,<[2022-03-02T10:15:25.346Z]>,1
@ramchoudhary25,@s_shreyatweets,Directed,Retweet,7851,,<[2022-03-02T10:15:25.346Z]>,1
@aliinaqviiii,@musklegacy,Directed,Mention,7852,,<[2022-03-02T10:15:25.512Z]>,1
@aliinaqviiii,@musklegacy,Directed,Retweet,7853,,<[2022-03-02T10:15:25.512Z]>,1
@fardeenhaneef,@slimdestro,Directed,Mention,7854,,<[2022-03-02T10:15:25.697Z]>,1
@fardeenhaneef,@slimdestro,Directed,Retweet,7855,,<[2022-03-02T10:15:25.697Z]>,1
@krishnasharmayt,@mas_742,Directed,Mention,7856,,<[2022-03-02T10:15:25.834Z]>,1
@krishnasharmayt,@mas_742,Directed,Retweet,7857,,<[2022-03-02T10:15:25.835Z]>,1
@04salman016,@ameyynn,Directed,Mention,7858,,<[2022-03-02T10:15:26.296Z]>,1
@04salman016,@ameyynn,Directed,Retweet,7859,,<[2022-03-02T10:15:26.297Z]>,1
@alizaka26,@abdulra63001962,Directed,Mention,7860,,<[2022-03-02T10:15:26.640Z]>,1
@alizaka26,@abdulra63001962,Directed,Retweet,7861,,<[2022-03-02T10:15:26.640Z]>,1
@gauravk20601889,@kushinashin,Directed,Mention,7862,,<[2022-03-02T10:15:27.095Z]>,1
@gauravk20601889,@kushinashin,Directed,Retweet,7863,,<[2022-03-02T10:15:27.095Z]>,1
@abhishe60360679,@speaksgautam,Directed,Mention,7864,,<[2022-03-02T10:15:27.664Z]>,1
@abhishe60360679,@speaksgautam,Directed,Retweet,7865,,<[2022-03-02T10:15:27.664Z]>,1
@sahilkapride,@md_haroon_001,Directed,Mention,7866,,<[2022-03-02T10:15:28.158Z]>,1
@sahilkapride,@md_haroon_001,Directed,Retweet,7867,,<[2022-03-02T10:15:28.158Z]>,1
@ashu_jasuja,@tyagibharatom,Directed,Mention,7868,,<[2022-03-02T10:15:28.302Z]>,1
@ashu_jasuja,@tyagibharatom,Directed,Retweet,7869,,<[2022-03-02T10:15:28.302Z]>,1
@gauravk20601889,@bharatk67053857,Directed,Mention,7871,,<[2022-03-02T10:15:29.190Z]>,1
@gauravk20601889,@bharatk67053857,Directed,Retweet,7872,,<[2022-03-02T10:15:29.190Z]>,1
@animatedperson,@zelenskyyua,Directed,Mention,7873,,<[2022-03-02T10:15:29.771Z]>,1
@animatedperson,@peregrine1999,Directed,Quote,7874,,<[2022-03-02T10:15:29.771Z]>,1
@sspati3,@justtimepassin,Directed,Mention,7875,,<[2022-03-02T10:15:31.497Z]>,1
@sspati3,@justtimepassin,Directed,Retweet,7876,,<[2022-03-02T10:15:31.497Z]>,1
@ashu_jasuja,@saint_trader,Directed,Mention,7877,,<[2022-03-02T10:15:31.522Z]>,1
@ashu_jasuja,@saint_trader,Directed,Retweet,7878,,<[2022-03-02T10:15:31.522Z]>,1
@gauravk20601889,@sourav_chry,Directed,Mention,7879,,<[2022-03-02T10:15:31.620Z]>,1
@gauravk20601889,@sourav_chry,Directed,Retweet,7880,,<[2022-03-02T10:15:31.620Z]>,1
@dasjisnudeep,@anmology,Directed,Mention,7881,,<[2022-03-02T10:15:32.044Z]>,1
@dasjisnudeep,@anmology,Directed,Retweet,7882,,<[2022-03-02T10:15:32.044Z]>,1
@tm_zimbo,@mohankeech,Directed,Mention,7883,,<[2022-03-02T10:15:32.165Z]>,1
@tm_zimbo,@mohankeech,Directed,Retweet,7884,,<[2022-03-02T10:15:32.165Z]>,1
@realnamebro,@_kartik_kc,Directed,Mention,7885,,<[2022-03-02T10:15:32.345Z]>,1
@realnamebro,@_kartik_kc,Directed,Retweet,7886,,<[2022-03-02T10:15:32.345Z]>,1
@gauravk20601889,@fabulous_nikki4,Directed,Mention,7887,,<[2022-03-02T10:15:34.975Z]>,1
@gauravk20601889,@fabulous_nikki4,Directed,Retweet,7888,,<[2022-03-02T10:15:34.975Z]>,1
@sirki_sir,@aliensaliensali,Directed,Mention,7891,,<[2022-03-02T10:15:36.586Z]>,1
@sirki_sir,@aliensaliensali,Directed,Retweet,7892,,<[2022-03-02T10:15:36.586Z]>,1
@sujitta50999730,@anmology,Directed,Mention,7893,,<[2022-03-02T10:15:37.058Z]>,1
@sujitta50999730,@anmology,Directed,Retweet,7894,,<[2022-03-02T10:15:37.058Z]>,1
@hemanth48597405,@iyuvrajsinghraj,Directed,Mention,7895,,<[2022-03-02T10:15:37.153Z]>,1
@hemanth48597405,@iyuvrajsinghraj,Directed,Retweet,7896,,<[2022-03-02T10:15:37.153Z]>,1
